W16(1),99,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Bist du in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,T,AK_D05_06_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,art. 3 ust. 1 pkt oraz art. 26 ust. 6 ustawy z 20 czerwca 1997 roku Prawo o ruchu drogowym (Dz. U. z 2012 r. poz. 1137 ze zm.),Znajomość  zasad zachowania podczas przejeżdżania obok przystanków komunikacji publicznej,Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji,Gotowe ostatecznie,PWPW,,,,,,,,
W16(2),100,Czy w tej sytuacji masz obowiązek zatrzymać pojazd?,,,,Are you obliged to stop the vehicle in the presented situation?,,,,"Sind Sie in der dargestellten Situation dazu verpflichtet, das Fahrzeug anzuhalten?",,,,T,AK_D10_30_org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W16,Art. 3 ust. 1 i art. 26 ust. 6 ustawy PRD,Znajomość zasad zachowania podczas przejeżdżania obok przystanków komunikacji publicznej,Znajomość i stosowanie się do zasad zachowania się przy przejeżdżaniu obok przystanku tramwajowego bez wysepki eliminuje sytuacje zagrażające życiu i zdrowiu pieszych wsiadających i wysiadajacych z pojazdów tej komunikacji,Gotowe ostatecznie,PWPW,pjm100.wmv,,,,,,,
W9(1),109,Czy w przedstawionej sytuacji masz prawo kontynuować jazdę?,,,,Can you continue driving in this situation?,,,,Darfst du in der dargestellten Situation die Fahrt fortsetzen?,,,,N,AK_D11_43org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD,Wwiedza w zakresie koniecznej reakcji na sygnał podawany przez osobę nadzorującą bezpieczne przejście dzieci przez jezdnię w wyznaczonym miejscu,Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia,Gotowe ostatecznie,PWPW,pjm109.wmv,,,,,,,
W9(2),110,Czy w przedstawionej sytuacji masz prawo - mimo podawanego sygnału - skręcić w prawo?,,,,Are you allowed in this situation to turn right despite the light displayed?,,,,Darfst du in der dargestellten Situation - trotz des gegebenen Signals - rechts abbiegen?,,,,N,AK_D11_45org.wmv,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W9,Art. 6 ust. 1 pkt 6 ustawy PRD i § 109 ust. 4 rozporządzenia ZSD,Wiedza w zakresie koniecznej reakcji na sygnał podawany przez osobę nadzorującą bezpieczne przejście dzieci przez jezdnię w wyznaczonym miejscu,Znajomość i stosowanie się do poleceń i sygnałów dawanych przez osoby nadzorujące bezpieczne przekraczanie przejścia przez dzieci eliminuje zagrożenie dla ich życia i zdrowia,Gotowe ostatecznie,PWPW,,,,,,,,
C4(33),290,Jaką odległość należy zachować między jadącymi kolumnami samochodów ciężarowych?,Nie mniejszą niż 800 metrów.,Nie mniejszą niż 500 metrów.,Nie mniejszą niż 200 metrów.,What should be the safe following distance between columns of lorries?,Not less than 800 metres.,Not less than 500 metres.,Not less than 200 metres.,"Wie groß soll der Abstand sein, der zwischen den fahrenden LKW- Kolonnen, die Straßentransport für eigenen Bedarf ausführen, zu halten ist?",Nicht kleiner als 800 meter.,Nicht kleiner als 500 meter.,Nicht kleiner als 200 meter.,B,,SPECJALISTYCZNY,3,C,C4,Art 32 ust..2 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2012 poz. 1137.),Warunki utrzymywania bezpiecznego odstępu pomiędzy kolumnami sam.ciężarowych innych niż poj. uprzywilejowanie i pojazdy podległe MON,Niewlaściwy odstęp - zagrożenie,Gotowe ostatecznie,PWPW,pjm290.wmv,pjm290a.wmv,pjm290b.wmv,pjm290c.wmv,,,,
C4(34),293,"Kierujesz samochodem ciężarowym. Który z wymienionych czynników jesteś zobowiązany uwzględnić, aby zachować bezpieczny odstęp od poprzedzającego pojazdu?",Prędkość pojazdów.,Moc silnika.,Szerokość pojazdów.,You are driving a lorry. Which of the following factors should you take into account to keep a safe distance from the vehicle in front?,Speed of the vehicles.,Power of the engine.,Width of the vehicles.,"Sie fahren einen LKW. Welchen der genannten Faktoren haben Sie zu berücksichtigen, damit ein sicherer Abstand zu dem vorausfahrenden Fahrzeug gehalten wird?",Die Geschwindigkeit der Fahrzeuge.,Die Motorleistung.,Die Breite der Fahrzeuge.,A,,SPECJALISTYCZNY,3,C,C4,"art 19 ust. 1 i 2 pkt 3 ustawy z dnia 20 czerwca 1997 r. - Prawo o ruchu drogowym (Dz.U. z 2005 r. Nr 108, poz. 908, z późn. zm.)",Warunki utrzymywania bezpiecznego odstępu,Niewłaściwy odstęp - zagrożenie.,Gotowe ostatecznie,PWPW,pjm293.wmv,pjm293a.wmv,pjm293b.wmv,pjm293c.wmv,,,,
W3(1),352,Czy na jezdni oznaczonej tym znakiem wolno Ci zawrócić?,,,,Are you allowed to make a U-turn on a roadway with this sign?,,,,Darfst du auf der mit diesem Zeichen gekennzeichneten Fahrbahn wenden?,,,,N,IMG_4251orgbm.jpg,PODSTAWOWY,1,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W3,"Art. 22 ust. 6 pkt 1 ustawy ""Prawo o ruchu drogowym""(Dz. U. z 2013 poz. 1137, z późn. zm.) i dodanie w do § 44 ust. 1 w rozporządzeniu w sprawie znaków i sygnałów drogowych",Znajomość znaczenia znaku D-3 i ograniczeń związanych z tym znakiem,Znajomość zasad zawracania ma istotne znaczenie dla bezpieczeństwa ruchu drogowego,Gotowe ostatecznie,PWPW,pjm352.wmv,,,,,,,
W5(1),469,"Czy w tej sytuacji powinieneś oczekiwać, że następnym sygnałem będzie światło zielone?",,,,"In the presented situation, should you expect that the next light will be green?",,,,"Soll man in der dargestellten Situation erwarten, dass als nächstes Signal das grüne Licht kommt?",,,,T,3106D15_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 95 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW,pjm469.wmv,,,,,,,
W5(2),475,Czy w tej sytuacji wolno Ci skręcić w prawo bez zatrzymania się przed sygnalizatorem?,,,,In the presented situation are you allowed to turn right without stopping before the traffic lights?,,,,"Darf man in der dargestellten Situation rechts abbiegen, ohne vor der Ampel angehalten zu haben?",,,,N,0118D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 96 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW,pjm475.wmv,,,,,,,
W5(3),477,Czy w tej sytuacji sygnał świetlny nadawany dla Twojego pasa ruchu zezwala Ci na zawracanie?,,,,Does the light signal for you lane allow for making a U-turn in this situation?,,,,"Erlaubt in der dargestellten Situation das Lichtsignal, das für Ihre Fahrspur gesendet wird, zu wenden?",,,,N,2064D14MM_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 97 rozporządzenie Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz. U. Nr 170, poz. 1393, z późn. zm.).",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW,pjm477.wmv,,,,,,,
W5(4),478,"Czy w tej sytuacji nadawany sygnał świetlny oznacza, że podczas jazdy w prawo nie występuje kolizja z innymi uczestnikami ruchu?",,,,Does the traffic light displayed in this situation denote that when turning right there is no collision with other road users?,,,,"Bedeutet das in der dargestellten Situation gegebene Leuchtsignal, dass es bei der Fahrt nach rechts keine Gefahr mehr gibt, mit anderen Verkehrsteilnehmern zu kollidieren?",,,,T,066D16_a_org.jpg,PODSTAWOWY,3,"A,B,C,D,T,AM,A1,A2,B1,C1,D1",W5,"§ 97 ust. 3 rozporządzenia Ministrów Infrastruktury oraz Spraw Wewnętrznych i Administracji z dnia 31 lipca 2002 r. w sprawie znaków i sygnałów drogowych (Dz.U. Nr 170, poz. 1393, z późn. zm.)",Znajomość wiedzy w zakresie sygnalizacji świetlnej,"Konfrontacja, której skutkiem jest bezpośrednie zagrożenie dla zdrowia lub życia",Gotowe ostatecznie,PWPW,pjm478.wmv,,,,,,,
